"id","country","name","sex","president","start_president","end_president","ministry","undersec","start_undersec","end_undersec","party"
152,"Chile","Patricio Vilaplana","man","Ricardo Lagos",2000-03-11,2006-03-11,"Consejo Nacional de la Cultura y las Artes","Cultura",2003-08-06,2006-03-11,"PDC"
153,"Chile","Marcelo Carvallo Ceroni","man","Ricardo Lagos",2000-03-11,2006-03-11,"Planificación","Planificación y Cooperación",2003-08-18,2004-10-07,"PS"
154,"Chile","Jacqueline Weinstein Levy","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Bienes Nacionales","Bienes Nacionales",2004-02-25,2006-03-11,"PPD"
155,"Chile","Carlos Álvarez Voullieme","man","Ricardo Lagos",2000-03-11,2006-03-11,"Economía, Fomento y Reconstrucción","Economía",2004-07-01,2006-03-11,"PS"
156,"Chile","Myriam Verdugo Godoy","woman","Ricardo Lagos",2000-03-11,2006-03-11,"SERNAM","SERNAM",2004-09-29,2006-03-11,"PDC"
157,"Chile","Carlos Parra Merino","man","Ricardo Lagos",2000-03-11,2006-03-11,"Defensa Nacional","Aviación",2004-10-01,2006-03-11,"PRSD"
158,"Chile","Mario Cabezas Thomas","man","Ricardo Lagos",2000-03-11,2006-03-11,"Minería","Minería",2004-10-01,2006-03-11,"PRSD"
159,"Chile","Teresa Rey Carrasco","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Vivienda y Urbanismo","Vivienda",2004-10-07,2006-03-11,"PDC"
160,"Chile","Jaime Andrade Guenchocoy","man","Ricardo Lagos",2000-03-11,2006-03-11,"Planificación","Planificación y Cooperación",2004-10-15,2006-03-11,"PS"
161,"Chile","Osvaldo Salgado Zepeda","man","Ricardo Lagos",2000-03-11,2006-03-11,"Salud","Redes Asistenciales",2005-01-01,2006-03-11,"PS"
162,"Chile","Macarena Carvallo Silva","woman","Ricardo Lagos",2000-03-11,2006-03-11,"SEGEGOB","Deportes",2005-02-01,2006-03-11,"PRSD"
163,"Chile","Marisol Aravena Puelma","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Trabajo y Previsión Social","Previsión Social",2005-02-01,2006-03-11,"PRSD"
164,"Chile","Cecilia Villavicencio Rosas","woman","Ricardo Lagos",2000-03-11,2006-03-11,"Salud","Salud Pública",2005-03-14,2006-03-11,"PPD"
165,"Chile","Pedro Montt Leiva","man","Ricardo Lagos",2000-03-11,2006-03-11,"Educación","Educación",2005-04-20,2006-03-11,"PDC"
